 20030006121  Passive radio frequency identification system for identifying and tracking currency  A new passive radio frequency identification (RFID) system to authenticate, identify, and sum currency amounts is described. The inventive device includes (1) a paper-like passive RFID transponder which could be embedded in a currency or used as the currency itself, and which contains encrypted/non-encrypted electronic bits of data (serial nu
 20030009666  Methods and apparatus for efficient computation of one-way chains in cryptographic applications  Techniques are disclosed for efficient computation of consecutive values of one-way chains and other one-way graphs in cryptographic applications. The one-way chain or graph may be a chain of length s having positions i1, 2, . . . s each having a corresponding value vl associated therewith, wherein the value vi is given by vih (vl
 20030014337  Systems, methods and computer program products for performing a generalized contingent claim valuation  Systems, methods and computer program products for performing a valuation of a contingent claim are provided that initially determine the present value distribution of contingent future benefits that is attributable to the exercise of a contingent claim. In this regard, the distribution of contingent future benefits is disc
 20030019942  System and method for electronically readable card having power source  An improved transaction card contains electronic components and a thin, flexible, power assembly such as a rechargeable metal-lithium battery which may be used whether or not the card is coupled to a reader. The power assembly may include a built-in power source such as a thin film solar cell for charging the power storage device from that source, on-card
 20030033242  System and method for automated process of deal structuring  An automated deal processing for customers is disclosed, and includes prompting a customer for at least one deal parameter, such as loan amount, prompting the customer for information relating to the customer, such as income and collateral offered by the customer, optionally accessing in real-time information relating to the credit history of the customer, applying 
 20030046179  Vehicle shopping and buying system and method  A complete internet shopping and buying system allows a customer to configure a vehicle of their choice by selecting options and creating and viewing a graphic model, locate a dealership, select a payment option, locate a specific vehicle and purchase the vehicle. The shopping process is divided into non-sequential phases including general information, a virtual vehicle showroom,
 20030057269  Gaming cash management slip and method  The invention is a cash management slip and method of using the slip in casino operations. The cash management slip and method applies particularly to the process of paying a jackpot awarded by a gaming machine, such as a slot machine, and to the filling with cash of a gaming machine. The present invention provides machine-readable indicia on casino cash management slips and further pro
 20030061162  Card based transfer account  The invention contemplates a method of funds transfer is disclosed involving opening one or more trust accounts associated with a plurality of accounts with at least one financial institution, creating a plurality of money account cards with each of the plurality of money account cards associated with a live account associated with the entire amount in the trust account opened and maintained by co
 20030078787  System, method and computer program product for generating revenue in a supply chain management framework  A system, method and computer program product are disclosed for generating revenue. A supply chain manager is appointed for a buying supply chain participant. Authority is granted to the supply chain manager to negotiate supply agreements between a selling supply chain participant and the supply chain manager on behalf o
 20030079180  Process and system for tracking the history of communications, data input, and operations in a complex project workflow system  A process for tracking the history of reconciliation negotiations between parties for approval of a field document in a complex workflow system is provided. The process involves recording an action of at least one of the parties taken with respect to the field document during the reconciliation negot
